EntryID,City,Country,Action type,Description,DateAnnounced,DateEnded,Status (if known),Comments,contact info (optional),Primary news source,Additional sources,Additional sources 2,Additional sources 3,Additional sources 4
211,Dublin,Ireland,Closed streets to motor vehicles,"closing driving/parking lanes on Capel Street, Ranelagh, Rathmines, Stoneybatter, Dorset Street. Previously announced: limited access into the Phoenix Park and suspending parking across much of the park.","April 17, 2020",,,,,https://twitter.com/JanetPHorner/status/1251093367888515072,https://twitter.com/aodhanodea/status/1258728294507261953,,,
212,"Emeryville, CA",USA,Reallocated outer lane/curb space,"section of Doyle street will be converted to one-way in some areas, blocked to cars in others.","April 17, 2020",,,,,https://twitter.com/JohnBauters/status/1251304525240995840,,,,
213,"Madison, WI",USA,Reallocated outer lane/curb space,yes,"April 17, 2020",,,,,https://www.nbc15.com/content/news/Madison-creates-Shared-Streets-to-create-more-space-for-walking-biking-during-COVID-19-569784711.html,,,,
214,"Madison, WI",USA,Implemented shared streets,yes,"April 17, 2020",,,,,https://www.nbc15.com/content/news/Madison-creates-Shared-Streets-to-create-more-space-for-walking-biking-during-COVID-19-569784711.html,,,,
215,"Madison, WI",USA,Automated walk signals,,"April 17, 2020",,,,,,,,,
216,"Edmonds, WA",USA,Filtered/banned non-local traffic ,pilot project on Sunset Ave,"April 18, 2020",,,,,https://www.kiro7.com/news/local/edmonds-closes-sunset-avenue-allow-pedestrians-space-social-distancing/WATKR2TDIZBSLJ3SNSDKHPJSQU/,,,,
217,"Bend, OR",USA,Filtered/banned non-local traffic ,n'hood greenways now local traffic only,"April 20, 2020",,,,,https://www.bendoregon.gov/city-projects/infrastructure-projects/neighborhood-greenways/stay-healthy-streets,,,,
218,Brighton & Hove,England,Closed streets to motor vehicles,Madeira Drive and Duke’s Mound will be closed; Madeira drive for its full length from the Palace Pier roundabout and will be stewarded from 8am to 8pm daily so that businesses have essential access to properties; this will be done at the top of Duke’s Mound.,"April 20, 2020",,,,,https://new.brighton-hove.gov.uk/news/2020/madeira-drive-first-road-be-allocated-walkers-and-cyclists,,,,
219,Kampala,Uganda,Closed streets to motor vehicles,"cars banned citywide during lockdown. From 20 March- 15 April, bicycling allowed before 2pm. From 15 April - present, bicycling allowed until 5pm. ","April 20, 2020",,,,,https://twitter.com/MarcioDeslandes/status/1257685144485408768,,,,
220,Kampala,Uganda,Other strategies: misc,Bicycling encouraged by President as a mode of transport for essential employees,"April 20, 2020",,,,,https://twitter.com/MarcioDeslandes/status/1257685144485408768,,,,
221,Kampala,Uganda,Filtered/banned non-local traffic ,"Police blocks on many streets, checking car passes. Only government officials or other approved persons have a car pass.","April 20, 2020",,,,,https://twitter.com/MarcioDeslandes/status/1257685144485408768,,,,
222,Kampala,Uganda,Fasttracked implementation of ped/bike plans,"NMT zone being finished during the lock-down, construction is easier. ","April 20, 2020",,,,,https://twitter.com/MarcioDeslandes/status/1257685144485408768,,,,
223,"Washington, DC",USA,Reallocated outer lane/curb space,by request,"April 20, 2020",,,,,https://dcist.com/story/20/04/20/coronavirus-latest-dc-maryland-virginia-week-of-april-20/#dcsidewalks,,,,
224,"Bend, OR",USA,"Fasttracked implementation of ped/bike plans,Filtered/banned non-local traffic ",fast-tracking creation of new n'hood greenways w/ temp. materials,"April 21, 2020",,,,,https://www.bendoregon.gov/city-projects/infrastructure-projects/neighborhood-greenways/stay-healthy-streets,,,,
225,Brussels ,Belgium,Closed streets to motor vehicles,One of the bigger forests/parks in Brussels ('Ter Kameren Bos') has also been closed off for car traffic to enable social distancing for peds/bikes,"April 21, 2020",,,,Dimitri Strobbe (linkedIn),https://plus.lesoir.be/295737/article/2020-04-20/pentagone-bruxelles-une-zone-20-avec-pietons-et-cyclistes-prioritaires,,,,
226,Brussels ,Belgium,Implemented shared streets,The city center (called 'the pentagone') has been transformed into 'Residential Area' to give space to pedestrian and cyclists so they can keep a safe distance. ,"April 21, 2020",,,,Dimitri Strobbe (linkedIn),https://plus.lesoir.be/295737/article/2020-04-20/pentagone-bruxelles-une-zone-20-avec-pietons-et-cyclistes-prioritaires,,,,
227,Brussels ,Belgium,Automated walk signals,automated walk/bike signals where possible,"April 21, 2020",,,,Dimitri Strobbe (linkedIn),,,,,
228,Brussels ,Belgium,Reduced speed limit,"Within the city center ('pentagone') speed limits have been reduced to 20km/h (""residential area"") through summer","April 21, 2020",,Temporary,,Dimitri Strobbe (linkedIn),https://www.vrt.be/vrtnws/en/2020/04/21/20km-h-speed-limit-in-central-brussels/,,,,
229,"New Orleans, LA",USA,Closed streets to motor vehicles,partial weekend closure of 5mi of Lakeshore Dr,,,,,,,,,,
230,"Birmingham, AL",USA,Closed streets to motor vehicles,<1mi on 2 streets in downtown,,,,,,,,,,
231,"Long Beach, CA",USA,Other strategies: misc,Walk Long Beach has developed walking loops and is conducting weekly social-distanced walks on Wednesdays,"April 21, 2020",,,,,,,,,
232,Milan,Italy,Reallocated outer lane/curb space,"announced: 35km of streets to be transformed, including temporary bike lanes","April 21, 2020",,,,,https://www.theguardian.com/world/2020/apr/21/milan-seeks-to-prevent-post-crisis-return-of-traffic-pollution,,,,
233,Milan,Italy,Reallocated outer lane/curb space,"announced: 35km of streets to be transformed, including new and widened pavements (sidewalks)","April 21, 2020",,,,,https://www.theguardian.com/world/2020/apr/21/milan-seeks-to-prevent-post-crisis-return-of-traffic-pollution,,,,
234,Milan,Italy,Implemented shared streets,announced: ped/bike priority streets,"April 21, 2020",,,,,https://www.theguardian.com/world/2020/apr/21/milan-seeks-to-prevent-post-crisis-return-of-traffic-pollution,,,,
235,Milan,Italy,Reduced speed limit,announced: 30kph speed limits,"April 21, 2020",,,,,https://www.theguardian.com/world/2020/apr/21/milan-seeks-to-prevent-post-crisis-return-of-traffic-pollution,,,,
236,"Richmond, BC",Canada,Automated walk signals,,"April 21, 2020",,,,,https://dailyhive.com/vancouver/richmond-automated-crosswalks-coronavirus?fbclid=IwAR3YOqz3cM6N6N_ECO0o3He5y9Ek_j4XUlIo9sfSk-c03_c9JeDS6_K4RIc,,,,
237,"San Francisco, CA",USA,Filtered/banned non-local traffic ,yes,"April 21, 2020",,,"""re shared streets: """"The SFMTA is implementing a new program, Slow Streets, to close some streets to through traffic and allow roadways to be used more as a shared space for foot and bicycle traffic.
Throughout the city, corridors have been identified for Phase 1 Slow Streets. Beginning this week, some of these streets will be closed to through vehicle traffic to prioritize walking/biking and to provide more space for social distancing during essential travel by those modes."""" (see story from SFTMA on the right for more)""",,https://www.sfmta.com/blog/slow-streets-program-help-social-distancing,https://www.sfexaminer.com/news/sunset-supervisor-wants-to-keep-great-highway-car-free-during-crisis/,,,
239,Mendoza,Argentina,Closed streets to motor vehicles,details needed,"April 22, 2020",,,,,,,,,
240,Mendoza,Argentina,Automated walk signals,,"April 22, 2020",,,,,,,,,
241,Paris,France,Reallocated outer lane/curb space,650km of new bikeways planned for post lockdown mobility,"April 22, 2020",,,,,https://www.forbes.com/sites/carltonreid/2020/04/22/paris-to-create-650-kilometers-of-pop-up-corona-cycleways-for-post-lockdown-travel/#34d41f1d54d4,,,,
242,Saanich,Canada,Automated walk signals,daytime hours,"April 22, 2020",,,,,https://twitter.com/FocalEng/status/1252962821115019265,,,,
243,Auckland,New Zealand,Reallocated outer lane/curb space,Adding bike lanes on 20 streets to support shift from alert level 4 to 3,"April 23, 2020",,,,,https://at.govt.nz/about-us/news-events/improved-facilities-for-those-walking-cycling-across-auckland/,,,,
244,Fairfield,Australia,Other strategies: misc,Extension of sports fields lighting to a later time 7:30pm to allow activity.,"April 23, 2020",,Temporary,,,http://www.fairfieldcity.nsw.gov.au/news/article/508/sports_fields_light_up_for_fitness,,,,
245,Guelph,Canada,Automated walk signals,,"April 23, 2020",,,,,https://www.guelphmercury.com/news-story/9961193-pedestrian-crossings-at-most-guelph-intersections-now-automated-due-to-coronavirus/,,,,
246,Hammersmith,England,Reallocated outer lane/curb space,pavements temporarily extended on short stretches of 2 roads to allow space for safe pedestrian access/queuing for retail. New pedestrian space will take space from vehicle and bicycle lanes,"April 23, 2020",,Temporary,,,http://www.hammersmithtoday.co.uk/default.asp?section=community&link=http://neighbournet.com/server/common/ldrshfcouncil007.htm,,,,
247,Mendoza,Argentina,Other strategies: bike share,300 free bikes available for merchants to use for delivery,"April 23, 2020",,,,,https://www.losandes.com.ar/article/view?slug=habra-300-bicicletas-de-uso-gratuito-para-comerciantes-de-ciudad,,,,
248,Nelson,New Zealand,Reallocated outer lane/curb space,"yes, widening of walking space in central city to support social distancing as nation emerges from level 4 shutdown","April 23, 2020",,,,,https://our.nelson.govt.nz/media-releases-2/welcoming-our-community-back-to-a-safer-nelson-city-centre/,,,,
249,Quito,Ecuador,Reallocated outer lane/curb space,"Announced plans to construct 62.7 kilometers of ""ciclovias emergentes"" (rapid implementation bikeways). To be constructed in 2 phases (first 25km in the City proper and then in outlying suburbs). Construction began on April 27.","April 23, 2020",,,,sally.sharrow@gmail.com,http://www.quitoinforma.gob.ec/2020/04/27/se-implementan-25-km-de-ciclovias-emergentes-en-quito/,https://www.eluniverso.com/noticias/2020/04/29/nota/7826991/ecuador-ciclismo-opcion-movilizarse-emergencia-covid-19,https://la.network/quito-se-une-a-las-ciudades-con-un-plan-de-ciclovias-emergentes-frente-al-covid-19/,https://twitter.com/Ferdelatorre8/status/1253827025992855554,https://twitter.com/CiclistasUrbUIO/status/1270160830030663681
250,Quito,Ecuador,Other strategies: misc,Painting yellow crcles spaced 2m apart along sidewalks to promote social distancing,"April 23, 2020",,,,,,,,,
251,Victoria BC,Canada,Reallocated outer lane/curb space,details needed,"April 23, 2020",,,,,,,,,
252,"Arlington, VA",USA,Automated walk signals,in some areas,"April 24, 2020",,,,,https://twitter.com/brianr2600/status/1245344378979323904,,,,
253,Bristol,England,Closed streets to motor vehicles,Opened a guided busway (not currently in use) to walking and cycling,"April 24, 2020",,Temporary,,,https://twitter.com/BristolCouncil/status/1253700885114490882,,,,
254,Lambeth (London),England,Reallocated outer lane/curb space,yes: council is expanding walkways at pinchpoints across the borough; see tweet to far right for a map (more streets reported 5 May 2020),"April 24, 2020",,,,,https://twitter.com/clairekholland/status/1253767631099830274,https://twitter.com/JimDicksLambeth/status/1255803351998107649,https://twitter.com/JimDicksLambeth/status/1257602683474714624,,
255,Lambeth (London),England,Filtered/banned non-local traffic ,yes; DETAILS NEEDED,"April 24, 2020",,,,,,,,,
256,Lima,Peru,Reallocated outer lane/curb space,301 kms of emergency bikeway under construction; stage 1 is 142km,"April 24, 2020",,,,,https://especiales.elcomercio.pe/?q=especiales/pedalear-contra-la-pandemia-ecpm/index.html,https://peru21.pe/lima/implementan-44-km-de-ciclovias-temporales-en-las-avenidas-garcilaso-tacna-y-alcazar-nndc-noticia/,https://rpp.pe/lima/actualidad/municipalidad-de-lima-inicio-implementacion-de-red-de-ciclovias-en-avenidas-francisco-pizarro-y-tupac-amaru-noticia-1271283,,
257,Lima,Peru,Other strategies: subsidized bike ownership,Plan to subsidize bikes,"April 24, 2020",,,,,https://diariocorreo.pe/edicion/lima/esta-es-la-bicicleta-popular-la-alternativa-de-transporte-del-gobierno-por-el-coronavirus-coronavrus-en-peru-martin-vizcarra-ministerio-de-transportes-y-comunicaciones-noticia/,,,,
258,"Los Angeles, CA",USA,Other strategies: transit improvements,transit: replacing 40' buses w/ 60' to ease crowding on some route,"April 24, 2020",,,,,http://boardarchives.metro.net/BoardBox/2020/200424_Weekly_Update_COVID-19.pdf,,,,
259,Manchester,England,Other strategies: signal timing,wait time shortened for pedestrian walk signals,"April 24, 2020",,,,,,,,,
260,"Salt Lake City, UT",USA,Closed streets to motor vehicles,yes,"April 24, 2020",,,,,https://twitter.com/SLCgov/status/1253455658587877376,,,,
261,Schaerbeek,Belgium,Reallocated outer lane/curb space,yes: temp. bike lanes installed via traffic cones (see video in tweet to the right) DETAILS NEEDED,"April 24, 2020",,,,,https://twitter.com/mikaelvaneeck/status/1253692774270066691,,,,
262,Barcelona,Spain,Reallocated outer lane/curb space,parking removed from 21km of streets to create space for walking/bicycling,"April 25, 2020",,,,,https://www.lavanguardia.com/local/barcelona/20200425/48704357907/barcelona-espacio-coches-aceras-carriles-bici-desconfinamiento-coronavirus.html,,,,
263,New Haven CT,USA,Closed streets to motor vehicles,Road in East Rock Park closed to cars,"April 25, 2020",,,,,https://www.newhavenindependent.org/index.php/archives/entry/city_faces_15m_deficit_makes_park_roads_pedestrian_only/,,,,
264,"San Francisco, CA",USA,Other strategies: created new recreational areas,9 city-owned gollf courses opened to the public for recreation 25 April 2020,"April 25, 2020",,Temporary,,,https://twitter.com/ContextSans/status/1254176143353118720,,,,
265,Dublin,Ireland,Reallocated outer lane/curb space,yes; through removal of parking,"April 26, 2020",,,,,https://twitter.com/transportdublin/status/1254345119932825606,https://twitter.com/aodhanodea/status/1258728294507261953,,,
266,Wollongong,Australia,Automated walk signals,only near hospital,,,,,,,,,,
267,Medellin,Colombia,Reallocated outer lane/curb space,creating bicycle-priority space,"April 26, 2020",,,,,https://twitter.com/CadenaGaitan/status/1254562985940582400,,,,
268,Medellin,Colombia,Other strategies: misc,closed key gaps in bicycle network,"April 26, 2020",,,,,https://twitter.com/CadenaGaitan/status/1254562985940582400,,,,
269,Bucaramanga,Colombia,Reallocated outer lane/curb space,temporary cycle route starting 29 April,"April 27, 2020",,Temporary,,,https://twitter.com/JCardenasRey/status/1254741230275133442,,,,
270,Bucaramanga,Colombia,Other strategies: bike share,bike share re-activated and made free,"April 27, 2020",,,,,https://twitter.com/JCardenasRey/status/1254741230275133442,,,,
271,Cali,Colombia,Reallocated outer lane/curb space,right (outside) lanes made bicycle priority (if no other bike infrastructure exists),"April 27, 2020",,,,,https://twitter.com/WMVallejo/status/1254639873778159620,,,,
272,Erbil,Kurdistan,Closed streets to motor vehicles,cars banned in city center (EVs allowed),,,,,,https://www.kurdistan24.net/en/news/ef68d67d-e760-4fe8-8f53-e97dab05df6c,,,,
273,Cali,Colombia,Other strategies: bike share,free bike share for health care workers,"April 27, 2020",,,,,https://twitter.com/WMVallejo/status/1254639873778159620,,,,
274,Cali,Colombia,Other strategies: misc,healthcare workers exempt from pico y placa,"April 27, 2020",,,,,https://twitter.com/WMVallejo/status/1254639873778159620,,,,
275,Cali,Colombia,Other strategies: transit improvements,transit vehicles operating at max 35% capacity,"April 27, 2020",,,,,https://twitter.com/WMVallejo/status/1254639873778159620,,,,
276,Cali,Colombia,Reallocated outer lane/curb space,Priority for bicicles on the right side of streets,"April 27, 2020",,,,,https://twitter.com/MovilidadCali/status/1258727398507413504,,,,
277,Cali,Colombia,Other strategies: bike share,Increasing free public bike sharing system  - Bônus for citizen who start using bike to work,"April 27, 2020",,,,,https://twitter.com/MovilidadCali/status/1258727398507413504,,,,
278,"Des Moines, IA",USA,Closed streets to motor vehicles,The city of Des Moines said it closed streets downtown to increase social distancing and decreasing scooping the loop. Update: Grand & Walnut Av are closed as of 27 April; have been closed 'for a while',"April 27, 2020",,,,,https://www.kcci.com/article/city-officials-say-downtown-road-closures-intended-to-increase-social-distancing/32135817#,https://twitter.com/DSMH2O/status/1253127221964877829/photo/1,https://www.desmoinesregister.com/story/news/2020/04/15/des-moines-closes-downtown-streets-encourage-social-distancing-dissuade-obnoxious-drivers/5139475002/,https://www.desmoinesregister.com/story/news/2020/04/21/coronavirus-iowa-des-moines-grays-lake-park-closes-parking-lots/2995619001/,
279,Detroit,USA,Other strategies: bike share,free bike share; DETAILS NEEDED,,,,,,,,,,
280,Melbourne,Australia,Implemented shared streets,proposed; details needed,"May 7, 2020",,,,,,,,,
281,Leicester,England,Reallocated outer lane/curb space,Temporary bike path along corridor leading to hospital for key workers,"April 27, 2020",,Temporary,,,https://twitter.com/OweniteAdam/status/1254780485269549057,,,,
282,Melbourne,Australia,Reduced speed limit,proposed reduction to 30kph; details needed,"May 7, 2020",,,,,,,,,
283,New York City,USA,Closed streets to motor vehicles,"40 miles underway now (to be completed in May), 100 planned in total. Roads in/around parks will be first.","April 27, 2020",,temporary,,,https://nyc.streetsblog.org/2020/04/27/breaking-de-blasio-commits-to-100-miles-of-open-streets/,,,,
284,Ottawa,Canada,Reallocated outer lane/curb space,27 April 2020: a store (Massine's) removed parking in front of their entrance to create more space for queuing pedestrians. ,"April 27, 2020",,,,,https://twitter.com/cmckenney/status/1254778176682684423,,,,
285,"San Francisco, CA",USA,Closed streets to motor vehicles,"Great Highway closed to vehicles temporarily (b/c of sand accumulation, but creates de facto walk/bike space); city is considering keeping it closed even absent the sand. Update 27 April 2020: roads in GGP and McLaren Park being closed to motor vehicles","April 27, 2020",,Temporary,,,https://sfmayor.org/article/san-francisco-closes-golden-gate-parks-jfk-drive-and-mclaren-parks-shelley-drive-vehicles,,,,
286,Toronto,Canada,Reallocated outer lane/curb space,"outside lanes will be given to pedestrians for social distancing in ""hot spots;"" list of initial locations provided in story","April 27, 2020",,,,,https://www.thestar.com/news/city_hall/2020/04/27/toronto-traffic-lanes-to-be-closed-for-pedestrians-in-hot-spots.html,,,,
287,Nelson,New Zealand,Other strategies: new funding streams for ped/bike,govt funding allowing for construction/upgrading of planned cycleway *as part of covid recovery*,"April 27, 2020",,,,,https://www.stuff.co.nz/national/politics/121214095/nelsontasman-region-asks-for-1554m-from-government-for-14-priority-projects,,,,
288,Cologne,Germany,Reduced speed limit,PENDING: reduced to 30kph,"April 28, 2020",,,,,https://www1.wdr.de/nachrichten/rheinland/radfahren-im-koeln-soll-grundsaetzlich-auf-strassen-erlaubt-werden-100.html,,,,
289,Cologne,Germany,Other strategies: legal changes,PENDING cyclists not limited to cyclepaths (can use streets),"April 28, 2020",,,,,https://www1.wdr.de/nachrichten/rheinland/radfahren-im-koeln-soll-grundsaetzlich-auf-strassen-erlaubt-werden-100.html,,,,
290,Scotland,Scotland,Other strategies: new funding streams for ped/bike,Transport Scotland announces £10m fund to support pop-up #ActiveTravel infrastructure across Scotland to help support #PhysicalDistancing while #walking or #cycling.,"April 28, 2020",,,,,https://twitter.com/transcotland/status/1255142271508377600,,,,
291,"Pasadena, CA",USA,Other strategies: misc,"Added ""Slow Down"" signage with image of person with stroller and person on bike to residential streets across the City. Transitioned 12 traffic lights to ""night time mode"" (i.e. flashing red) in an effort to reduce speeding.","April 28, 2020",,,,wes@activeSGV.org,www.cityofpasadena.net/city-manager/news-releases/city-of-pasadena-to-implement-new-safer-streets-measures/,https://www.coloradoboulevard.net/pasadenas-new-safer-streets-measures-100-miles-of-slow-streets-traffic-signals-modified/?fbclid=IwAR1abQhzuLbiHFf7OShYVGfE_JcqBI0RrTtoDKc5uvX-1sVwDw4w5KfoouU,,,
292,"Portland, OR",USA,Reallocated outer lane/curb space,yes: expanding walking space along busy streets with narrow/no sidewalks,"April 28, 2020",,,,,https://beta.portland.gov/eudaly/news/2020/4/28/transportation-commissioner-chloe-eudaly-announces-new-slow-streetssafe?fbclid=IwAR0Lee6VKMwCKZBfKjeN3SyYuWn4msUmB9U4scfvXwE-1JhGgdBFBCtGqFw,,,,
293,"Portland, OR",USA,Implemented shared streets,yes: n'hood greenways already exist; now being supported w/ signage indicating ped/bike priority,"April 28, 2020",,,,,https://beta.portland.gov/eudaly/news/2020/4/28/transportation-commissioner-chloe-eudaly-announces-new-slow-streetssafe?fbclid=IwAR0Lee6VKMwCKZBfKjeN3SyYuWn4msUmB9U4scfvXwE-1JhGgdBFBCtGqFw,,,,
294,"Portland, OR",USA,Filtered/banned non-local traffic ,yes: installing barricades to limit 'n'hood greenways' to local vehicular traffic only,"April 28, 2020",,,,,https://beta.portland.gov/eudaly/news/2020/4/28/transportation-commissioner-chloe-eudaly-announces-new-slow-streetssafe?fbclid=IwAR0Lee6VKMwCKZBfKjeN3SyYuWn4msUmB9U4scfvXwE-1JhGgdBFBCtGqFw,,,,
295,"Portland, OR",USA,Other strategies: misc,creating dedicated loading zones for takeout/retail pickup,"April 28, 2020",,,,,https://beta.portland.gov/eudaly/news/2020/4/28/transportation-commissioner-chloe-eudaly-announces-new-slow-streetssafe?fbclid=IwAR0Lee6VKMwCKZBfKjeN3SyYuWn4msUmB9U4scfvXwE-1JhGgdBFBCtGqFw,,,,
296,Suffolk County,England,Closed streets to motor vehicles,Clsoing Ipswich Waterfront between Custom House and Coprolite Street to motor vehicles from April 29 for at least 3 wks; additional closures may occur,"April 28, 2020",,,,,https://www.suffolk.gov.uk/council-and-democracy/council-news/show/ipswich-waterfront-to-close-to-motorised-traffic-during-the-lock-down,,,,
297,Vilnius,Lithuania,"Dedicated public space to outdoor dining/retail,Closed streets to motor vehicles",Street closures in downtown area to allow for outdoor dining and socially distanced retail,"April 28, 2020",,,,,https://www.theguardian.com/world/2020/apr/28/lithuanian-capital-to-be-turned-into-vast-open-air-cafe-vilnius,https://www.bikeitalia.it/2020/05/01/roma-sul-piatto-38-milioni-per-150-km-di-nuove-corsie-ciclabili-nella-fase-2/,,,
298,Windsor,Canada,Reallocated outer lane/curb space,UNDER CONSIDERATION,"April 28, 2020",,,,,https://www.cbc.ca/news/canada/windsor/windsor-council-orders-report-closing-two-lanes-riverside-drive-covid19-1.5547295,,,,
299,Edinburgh,Scotland,Reallocated outer lane/curb space,near term actions at 'pinch points' for pedestrians & cyclists; longer term actions to expand walking/bicycling space are planned,"April 29, 2020",,,,,https://www.edinburgh.gov.uk/news/article/12844/council-set-to-introduce-emergency-measures-for-pedestrians-and-cyclists,https://www.scotsman.com/news/transport/pop-cycle-lanes-and-widened-pavements-edinburgh-and-glasgow-2545363,,,
300,Edinburgh,Scotland,Closed streets to motor vehicles,"near term actions at 'pinch points' for pedestrians & cyclists. ""Silverknowes Road (implemented by Thursday, 30 April)
Braid Road (implemented by Sunday, 3 May)
Links Gardens (implemented by Sunday, 3 May)""","April 29, 2020",,,,,https://www.edinburgh.gov.uk/news/article/12844/council-set-to-introduce-emergency-measures-for-pedestrians-and-cyclists,,,,
301,Tirana,Albania,Reallocated outer lane/curb space,Converting parking to bike lanes & expanded sidewalks; pop-up bike lanes,"April 29, 2020",,,"From a user, 10 May 2020: ""Bike shops sold out of bikes after pop-up bike lanes installed""",,https://twitter.com/erionveliaj/status/1255401249438138368,https://twitter.com/erionveliaj/status/1259368264582549504,,,
302,"Alameda, CA",USA,Filtered/banned non-local traffic ,"Yes, piloting on 6 streets","April 30, 2020",,,,,https://www.alamedaca.gov/ALERTS-COVID-19/Slow-Streets-Alameda,,,,
303,Albacete,Spain,"Fasttracked implementation of ped/bike plans,Closed streets to motor vehicles",pedestrianization of 2 streets; planned pre-covid; initially delayed b/c of covid but then accelerated to accommodate need for social distancing,"April 30, 2020",,Permanent ,,,https://www.eldigitaldealbacete.com/2020/04/30/ultima-hora-albacete-informacion-importante-sobre-las-calles-rosario-y-gaona-de-albacete/,,,,
304,"Charlotte, NC",USA,Filtered/banned non-local traffic ,"""The City of Charlotte is launching Charlotte Shared Streets to support social distancing and pedestrian/bicycle safety...  Shared Streets are streets that are temporarily designated and signed as streets for walking, wheelchair rolling, and biking. Through traffic will not be permitted, but emergency vehicles and residents who live on those streets will still be able to access the roads by motor vehicle."" ","April 30, 2020",,Temporary ,,,https://charlottenc.gov/Transportation/Programs/Pages/CharlotteSharedStreets.aspx,,,,
305,Glasgow,Scotland,Other strategies: bike share,Free bike share scheme for all key workers.,"April 30, 2020",,Temporary,,,https://twitter.com/nextbikeUK/status/1246103893433516033,,,,
306,Glasgow,Scotland,Closed streets to motor vehicles,"""Kevinway in Glasgow has been temporary closed to traffic during the Covid 19 emergency to allow people to move freely and safely whilst respecting social distancing.""","April 30, 2020",,Temporary,,,https://www.linkedin.com/posts/paola-pasino-2129647_glasgow-covid19-behaviouralchange-ugcPost-6663355455483465728-rstp/,,,,
307,Hanover,Germany,Closed streets to motor vehicles,"yes, in parks; unclear if a one-off or to be continued","April 30, 2020",,,,,https://www.haz.de/Hannover/Aus-der-Stadt/Eilenriede-und-Grosser-Garten-Stadt-Hannover-macht-Strassen-fuer-Radfahrer-frei,,,,
308,Jersey City,USA,"Dedicated public space to outdoor dining/retail,Reallocated outer lane/curb space",removing on-street parking to allow space for outdoor dining,"April 30, 2020",,,,,https://newyork.cbslocal.com/2020/04/30/coronavirus-new-jersey-safe-dining-restaurant-reopening-plan/#.Xrkonfqhu5o.twitter,,,,
309,Manchester,England,Closed streets to motor vehicles,partial-pedestrianization of main city centre street as part of city's CV recovery plan,"April 30, 2020",,,,,https://secure.manchester.gov.uk/news/article/8414/deansgate_set_for_part-pedestrianisation_as_part_of_citys_coronavirus_recovery_plan,,,,
310,"Providence, RI",USA,Filtered/banned non-local traffic ,"yes: ""To make it safer to walk, run and ride bicycles, the city is exploring a plan that creates low-traffic, low speed public space in high-density neighborhoods.” $ for sign contractor has been allocated but list of streets has not been finalized","April 30, 2020",,,,,https://www.wpri.com/news/local-news/providence/providence-planning-street-closures-so-people-can-spread-out/,,,,
312,"Durham, NC",USA,Implemented shared streets,"Two citizens created a low-cost demonstration slow street for less than $10 to show how easy it would be to replicate in other parts of Durham. Unsanctioned tactical urbanism, not an official project. waiting to see if/how city & residents respond.","May 1, 2020",,,,,https://twitter.com/DurhamComplete/status/1256233489394995201,,,,
313,Hackney,England,Filtered/banned non-local traffic ,"Broadway Market filtered ""freeing up more street space for people, improving liveability and air quality in Hackney"" (1 May 2020)","May 1, 2020",,,,,https://twitter.com/netwench/status/1259885442847117312,https://twitter.com/netwench/status/1256217299700322305,,,
314,London,England,Reallocated outer lane/curb space,"pending, see 'bikebiz' story","May 1, 2020",,,,,https://www.bikebiz.com/mayors-streetspace-plan-could-see-cycling-increased-tenfold-post-lockdown/,,,,
315,London,England,Other strategies: misc,bus/bike-only corridors under consideration; limited to certain times of day,"May 1, 2020",,,,,https://www.bikebiz.com/mayors-streetspace-plan-could-see-cycling-increased-tenfold-post-lockdown/,,,,
316,"Pittsburgh, PA",USA,Closed streets to motor vehicles,The city closed a loop around Highland Park reservoir as a pilot (April 4-5 for 3 hours each day),"May 1, 2020",,,,,https://www.bikepgh.org/2020/03/24/how-about-some-social-distance-fitness-zones/,,,,
317,"Pittsburgh, PA",USA,Automated walk signals,"As of March 27, some signals were set to recall but some were observed not to be. According to the Mayor's Chief of Staff, some can be controlled centrally and others require individual changes","May 1, 2020",,,,,https://twitter.com/danielgilman/status/1243596503819657216,,,,
318,"Pittsburgh, PA",USA,Other strategies: misc,"On May 1, the city announced a task force to look at street closures, and prepare park facilities and pools for re-opening: ","May 1, 2020",,,,,https://pittsburghpa.gov/press-releases/press-releases/3924 ,https://www.bikepgh.org/2020/03/24/how-about-some-social-distance-fitness-zones/ for updates from the local bike/ped advocacy organization.,,,
319,"Salt Lake City, UT",USA,Reallocated outer lane/curb space,outer lane reallocated to pedestrians on half-mile section of 900 south; additional streets to be added/announced 5 May 2020,"May 1, 2020",,,,,,,,,
320,Southwark (London),England,Reallocated outer lane/curb space,Using barricades into the road to widen the pedestrian walkway to encourage social distancing,"May 1, 2020",,,,,https://twitter.com/WalworthSociety/status/1256255293278826496,,,,
321,Victoria BC,Canada,Automated walk signals,25 signals now automated per @cityofvictoria,"May 1, 2020",,,,,,,,,
322,Brussels ,Belgium,Reallocated outer lane/curb space,40km of new bicycle tracks (converted from existing travel lanes) planned to encourage bicycle use while social distancing,"May 2, 2020",,,,Dimitri Strobbe (linkedIn),https://www.lesoir.be/297712/article/2020-04-29/boulevard-reyers-rue-de-la-loi-la-carte-des-pistes-cyclables-securisees,,,,
323,Istanbul,Turkey,Fasttracked implementation of ped/bike plans,yes; DETAILS NEEDED. Not clear if fasttracking of road/subway construction include provisions for ped/bike,"May 2, 2020",,,,,www.ibb.gov.tr,,,,
