UID,Country,Country.region,City,Date.announced,Date.started,Date.ended,End.circumstance,Description,Initiative.name,Primary.type,Action,Function,Application,Category,Space,Time,Intensity,Scale,Infrastructure.affected,Management,Length.km,Trigger,Policy,Selection.process,Anticipated.longevity,Purpose,Strategy,Budget,Approach,Sector.type,Sources,Comments,Public.engagement,Verified.local,Date.verified,Corrected,Date.corrected,Verifier.role,Contact.info,Lessons.learned,Corrections,Perception,Mode.type,Modes,Modes.other,Partners,Governments,For.profits,Non.profits,World.region,Country.code,Country.region.code,TC.CP.2021,,,,,,OriginalUID,OriginalID,all.IDs
160,Hungary,,Budapest,,3/28/2020,,,TC: NA. MW: Healthcare workers in Budapest receive free public transportation on all networks operated by the Budapest Transport Centre as well as four additional private transport companies. The initiative will continue until the end of the state of emergency.. ML: NA,Healthcare workers get free public transport in Budapest,Other mobility-related strategies,Other strategies: fare free transit,boost transit,boost transit,Financial,N/A,N/A,N/A,entire city,,unknown,,Anticipated response,New action,Arbitrary,Temporary,Moving people,Other,,Modifications to prices,unknown,https://koronavirus.budapest.hu/en/2020/03/30/healthcare-workers-can-use-bkk-transportation-for-free-as-well/,,,,,,,,,,,,Transit,,,"Budapest Transport Centre (BKK), MÁV Magyar Államvasutak Zrt, Győr-Sopron-Ebenfurti Vasút, Volánbusz",1,3,,Europe & Central Asia,HU,,1,,,,,,165,MW094,MW094
161,Canada,Alberta,Calgary,3/28/2020,,,,TC: removed beg buttons. MW: NA. ML: NA,,Automated walk signals,Automated walk signals,other bike/ped supports,automated walk signals,Operational,Intersection,All day every day,No ban of any vehicles (shared space),entire city,Beg buttons,Signage (horizontal or vertical),80,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Automation,,Modifications to or reallocation of public infrastructure,unknown,https://calgaryherald.com/news/local-news/city-to-test-weekend-road-closures-to-help-calgarians-keep-their-distance/,,,,,,,,,,,,Public space,,,0,,,,North America,CA,,1,,,,,,166,ML315,"ML315, TC042, TC432, TC433"
162,Canada,Alberta,Calgary,,3/28/2020,,,"TC: NA. MW: Calgary closed six roadways to give people enough space to keep their distance if they venture outside during the COVID-19 pandemic. The closures are a temporary pilot project and the measures are in place to provide Calgarians options to meet government directives to avoid contact with others if they have to leave their homes.. ML: 6 street segment closed as pilot for March 28/29. Locations not announced, to avoid overcrowding.","Alberta to test road closures, putting more space between pedestrians",Full street closures,Closed streets to motor vehicles,street space for ped/bike,full street: pedbike,Physical,Entire Roadway,All day every day,100% banning of cars,one or more neighborhoods,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Temporary,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,https://www.calgary.ca/CSPS/cema/Pages/COVID19/Safety/Physical-distancing-on-Calgary-walkways.aspx,,,,,,,,,,,,Public space,,,City of Calgary,1,,,North America,CA,CA-AB,1,,,,,,167,MW025,MW025
163,United States,North Carolina,Carrboro,3/28/2020,,,,"TC: Private developments convert existing offstreet parking to loading zones and waiting areas, town facilitate signage and traffic control. MW: NA. ML: NA",,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,Private,unknown,N/A,one or more streets,Road space (includes bridges),Signage (horizontal or vertical),,unknown,New action,Arbitrary,Unknown,unknown,Change of use,,N/A,unknown,NA,,,,,,,,zhallock@townofcarrboro.org,,,,,,,0,,,,North America,US,US-NC,1,,,,,,168,TC045,TC045
164,United Kingdom,England,London,3/28/2020,,,,TC: Yes; DETAILS NEEDED. MW: NA. ML: NA,,Other mobility-related strategies,Reduced transit service,restrict transit mobility,restricted transit,Operational,N/A,N/A,N/A,N/A,,unknown,,unknown,unknown,Based on demand,Unknown,Public health,unknown,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,GB,GB-EN,1,,,,,,169,TC072,TC072
165,United Kingdom,England,London,3/28/2020,,,,"TC: The Royal Parks has prohibited cycling within Richmond Park, due to the high numbers of people using it for recreation; exemption available for 'key workers' and children aged 12 and under. MW: NA. ML: NA",,"Legal, policy, enforcement, funding changes",Specific closure of walking/cycling infrastructure,restrict ped/bike mobility,restricted pedbike,Physical,"Other (parks, plazas)",N/A,N/A,one or more streets,Road space (includes bridges),unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Mobility restriction,,N/A,unknown,https://www.royalparks.org.uk/media-centre/press-releases/coronavirus-the-royal-parks-suspends-cycling-in-richmond-park-following-social-distancing-concerns,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,GB,GB-EN,1,,,,,,170,TC071,TC071
166,United States,Virginia,Norfolk,,3/28/2020,,,"TC: NA. MW: Norfolk’s bicycle sharing service Pace announced that the company suspended all rentals in response to the COVID-19 pandemic. The company said it made the decision out of precaution to ensure that the community, riders, and maintenance staff is safe from the virus.. ML: NA",Norfolk's Pace bicycle sharing service suspended rentals,"Legal, policy, enforcement, funding changes",Specific policy action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,N/A,All day every day,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Public health,Mobility restriction,,Modifications to services,unknown,https://ridepace.com/covid-19-rider-updates/,,,,,,,,,,,,Shared modes,Bicycle / e-bicycle,,"City of Norfolk, Pace",1,1,,North America,US,US-VA,1,,,,,,171,MW470,MW470
167,United States,Virginia,Alexandria,,3/29/2020,,,"TC: NA. MW: To assist vehicle owners who are now working from home, caring for others, or trying to ensure the flow of goods and services, the City of Alexandria, Virginia suspended enforcement of the parking restrictions. Suspended restrictions include time restrictions for the general public in residential parking permit zones, weekend time restrictions and meter fees on blocks with pay stations, time restrictions for street sweeping, the prohibition against parking on the street for more than 72 hours, the requirement to display a valid state inspection sticker. These changes do not permit parking in any location otherwise prohibited, including “no parking” zones. All other time restrictions not listed above, such as 15-minute spaces or time limits in commercial corridors, will continue to be enforced. Parking enforcement officers will have the discretion to enforce suspended restrictions in exceptional circumstances where a significant traffic safety or community concern exists, or as necessary to ensure the safe and orderly movement of vehicles.. ML: NA","Alexandria, Virginia suspends time restrictions for parking","Legal, policy, enforcement, funding changes",Other strategies: free car parking,promote cars,free car parking,Regulatory,Parking lane,All day every day,N/A,entire city,Road space (includes bridges),unknown,,Reactive response (to higher contagion),New action,Input or request from community,Temporary,Public health,Special permit,,Introducing new processes,unknown,https://www.alexandriava.gov/news_display.aspx?id=114435,,,,,,,,,,,,Public space,,,"City of Alexandria, Virginia",1,,,North America,US,US-VA,1,,,,,,172,MW468,MW468
168,Netherlands,,Amsterdam,3/29/2020,,,,TC: city considering converting on-street parking to bicycle parking. MW: NA. ML: NA,,Other mobility-related strategies,Other strategies: bicycle parking,access to bikes,bike parking,Physical,Parking lane,All day every day,N/A,one or more streets,Road space (includes bridges),unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Moving people,Change of use,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,NL,,1,,,,,,173,TC766,TC766
169,Netherlands,,Amsterdam,3/29/2020,,,,TC: traffic signals adjusted for longer green for bike/ped to reduce queuing. MW: NA. ML: NA,,Other mobility-related strategies,Other strategies: signal timing,other bike/ped supports,signal timing,Operational,Intersection,All day every day,No ban of any vehicles (shared space),unknown,Stop lights,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Automation,,N/A,unknown,https://www.amsterdam.nl/en/coronavirus/overview/public-space-waste-mobility/,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,NL,,1,,,,,,174,TC764,TC764
170,Netherlands,,Amsterdam,,3/29/2020,,,"TC: NA. MW: The Municipality of Amsterdam and Swapfiets is providing 1,600 bikes to students to prevent public transport from becoming crowded as schools open again. The bikes are being provided for young, inexperienced cyclists.. ML: NA","1,600 bikes made available for students","Legal, policy, enforcement, funding changes",Other strategies: subsidizing bicycle purchases/repair,access to bikes,subsidize bike,Financial,N/A,unknown,N/A,entire city,,unknown,,Opening up after lockdown,New action,Based on demand,Temporary,Moving people,Other,,Financing,unknown,https://www.amsterdam.nl/en/coronavirus/overview/public-space-waste-mobility/,,,,,,,,,,,,Active,Bicycle / e-bicycle,,"City of Amsterdam, Swapfiets",1,,,Europe & Central Asia,NL,,1,,,,,,175,MW134,MW134
171,Netherlands,,Amsterdam,3/29/2020,,,,"TC: city considering reducing city center speed limit from 50kph to 30kph, allowing cyclists to expand into the roadway more safely. MW: NA. ML: NA",,"Legal, policy, enforcement, funding changes",Reduced speed limit,other bike/ped supports,speed limit,Regulatory,Entire Roadway,All day every day,No ban of any vehicles (shared space),entire city,Road space (includes bridges),Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Safety,Other,,N/A,Public sector action,https://www.amsterdam.nl/en/coronavirus/overview/public-space-waste-mobility/,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,NL,,1,,,,,,176,TC765,TC765
172,New Zealand,,Auckland,,3/29/2020,,,"TC: NA. MW: The AT Mobile App now shows how many people are on a bus in real time. Passengers can check if 2m physical distancing is achievable before getting on board. Data is live from AT HOP (electronic fare payment card), so passengers should continue to use their AT HOP cards even though trips are free.. ML: NA","Using the AT Mobile App, passengers can check if 2m physical distancing is achievable before getting on board",Other mobility-related strategies,Other strategies: transit improvements,boost transit,boost transit,Operational,N/A,N/A,N/A,N/A,N/A,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Indefinite,Public health,Other,,Using information and data,unknown,https://at.govt.nz/COVID-19,,,,,,,,,,,,Transit,Bus,,Auckland Transport,1,,,East Asia & Pacific,NZ,,1,,,,,,177,MW154,MW154
173,Germany,,Berlin,,3/29/2020,,,"TC: NA. MW: Berlin’s Senate Department for the Environment, Transport and Climate Protection and the District Office Friedrichshain-Kreuzberg temporarily expands and implements bicycle lanes. The temporary bicycle lanes are to allow for physical distancing among cyclists during the COVID-19 pandemic. The project starts with two pilots: a widened lane for cyclists on Zossener Straße and a separate bicycle cycle lane on the carriageway on Hallesche Ufer. Due to the decreased volume of automobile traffic, the new or widened bicycle lanes should not affect traffic flows.. ML: NA",Berlin temporarily expands bicycle lanes to create more distance between cyclists,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,one or more neighborhoods,Road space (includes bridges),Temporary barriers,,Anticipated response,Expanding pre-covid action,Arbitrary,Temporary,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2020/pressemitteilung.911780.php,,,,,,,,,,,,Public space,,,"City of Berlin Senate Department for the Environment, Transport and Climate Protection; City of Berlin District Office Friedrichshain-Kreuzberg",2,,,Europe & Central Asia,DE,,1,,,,,,178,MW084,MW084
174,United States,Virginia,Charlottesville,3/29/2020,,,,TC: yes: McIntire & Pen parks (hard to access w/o car). Tonsler & Washing parks (in walkable & historically minority neighborhoods) MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Removed parking at urban parks,restrict ped/bike mobility,restricted pedbike,Physical,"Other (parks, plazas)",All day every day,N/A,one or more streets,N/A,Temporary barriers,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,unknown,Urban space closure,,N/A,unknown,https://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/coronavirus-updates,,,,,,,,,,,,,,,0,,,,North America,US,US-VA,1,,,,,,180,TC069,TC069
175,United States,Washington,Columbia County,,3/29/2020,,,"TC: NA. MW: Columbia County Transit is using part of its fleet to deliver groceries to residents. The customers order and pay for their purchases at stores via phone, and then contact the transit system and request a grocery pickup. The delivery service is free. The transit system has also switched to a fare-free model.. ML: NA",Columbia County transit is delivering groceries to community members,Other mobility-related strategies,Other strategies: fare free transit,boost transit,boost transit,Financial,N/A,unknown,N/A,metropolitan area or county,,unknown,,unknown,New action,Input or request from community,Unknown,Moving goods,Other,,Modifications to services,unknown,https://ccptransit.org/wp/covid-19-updates/,,,,,,,,,,,,Transit,Bus,,Columbia County Transit,1,,,North America,US,US-WA,1,,,,,,181,MW473,MW473
176,Germany,,Hamburg,,3/29/2020,,,"TC: NA. MW: Transport operators in Hamburg are monitoring the demand on different bus routes and urban railways and adjusting services accordingly. On routes with high demand, services are increased and vice versa for low demand routes. Additional staff have been mobilised to ensure social distancing. Shared taxis are also offering additional night services at special rates for people dependent on these services.. ML: NA",Strengthening of bus routes and railway lines with highest demands,Other mobility-related strategies,Other strategies: transit improvements,boost transit,boost transit,Operational,N/A,All day every day,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Based on demand,Temporary,Moving people,Other,,unknown,unknown,https://www.hamburg.de/pressearchiv-fhh/13768850/2020-03-29-bwvi-bus-und-bahn/?fbclid=IwAR23HFXo5GtNM7-BVE4K3qjxLzxRve17TvlCtIWD5Dg95AQ_H7q9Eg-U1Dk,,,,,,,,,,,,Transit,,,"Hamburg Authority for Economy, Transport and Innovation (Behörde für Wirtschaft, Verkehr und Innovation), MOIA",1,1,,Europe & Central Asia,DE,,1,,,,,,182,MW086,MW086
177,United States,Texas,Austin,3/30/2020,,,,TC: Making station-based bike share free for 60 min trips via city-owned system. MW: NA. ML: NA,,Other mobility-related strategies,Other strategies: bike share,access to bikes,bike share,Financial,N/A,N/A,N/A,unknown,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,unknown,Other,,N/A,unknown,NA,,,,,,,,david.orr@austintexas.gov,,,,,,,0,,,,North America,US,US-TX,1,,,,,,184,TC047,TC047
178,United States,Texas,Austin,,3/30/2020,,,TC: NA. MW: Austin Transportation is offering free three-day BCycle passes to community members making essential trips in the BCycle central city service area. Austin Transportation recognizes that micromobility like scooters and bicycles allow riders to practice social distancing and that the evolving circumstances around COVID-19 have added financial strain and stress to members in our community so it is easing making BCycle passes more financially accessible.. ML: NA,Austin Transportation offers free 3-day BCycle passes,Other mobility-related strategies,Other strategies: bike share,access to bikes,bike share,Financial,N/A,All day every day,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,One time implementation,Moving people,Other,,Modifications to prices,unknown,https://mailchi.mp/austintexas/austin-mobility-news-2020-03-30?e=342f4f60ad#mctoc6,,,,,,,,,,,,Shared modes,Bicycle / e-bicycle,,"Austin Transportation, BCycle",1,,1,North America,US,US-TX,1,,,,,,185,MW447,MW447
179,Hungary,,Budapest,3/30/2020,,,,"TC: yes, see map linked. MW: NA. ML: NA",,Partial street closures,Implemented shared streets,street space for ped/bike,partial street: pedbike,Physical,Entire Roadway,All day every day,No ban of any vehicles (shared space),one or more neighborhoods,Road space (includes bridges),Temporary barriers,,Strategic response (to fast-track previous policies),New action,Based on previous studies,Temporary,Moving people,Change of use,,N/A,unknown,https://index.hu/belfold/2020/03/30/aprilistol_a_kerekparos_halozat_gyors_boviteset_tervezi_a_fovaros/,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,HU,0,1,,,,,,186,TC067,TC067
180,Hungary,,Budapest,3/30/2020,,,,TC: restricting park access in some districts (from mid-March). MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Specific policy action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,"Other (parks, plazas)",All day every day,N/A,one or more streets,N/A,Temporary barriers,,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Public health,Urban space closure,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,HU,0,1,,,,,,187,TC070,TC070
181,United States,Ohio,Cincinnati,,3/30/2020,,,"TC: NA. MW: Following instruction from the city, Cincinnati Red Bike has temporarily shut down to help prevent the spread of COVID-19. The bicycle sharing service will remain unavailable pending further directions from the city. Red Bike encourages its users to ride Metro or TANK, both of which are free during the COVID-19 crisis.. ML: NA",Cincinnati Red Bike suspends bicycle-share service,"Legal, policy, enforcement, funding changes",Specific policy action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,N/A,N/A,N/A,N/A,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Other,,Modifications to services,unknown,https://www.cincyredbike.org,,,,,,,,,,,,Shared modes,Bicycle / e-bicycle,,Red Bike,1,,1,North America,US,US-OH,1,,,,,,188,MW414,MW414
182,United States,Colorado,Denver,,3/30/2020,,,"TC: NA. MW: Denver provides grocery delivery program for people with disabilities. Customers of Access-a-Ride can schedule grocery deliveries one day in advance. Customers must call the food bank or order from the grocery store directly, and then schedule a pickup date/time for the delivery. The service is free and only available to Access-a-Ride customers.. ML: NA",Denver offers grocery deliveries for people with disabilities,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Various,unknown,unknown,unknown,entire city,,unknown,,Strategic response (to fast-track previous policies),New action,Based on demand,Unknown,Moving goods,Other,,Modifications to services,unknown,https://www.rtd-denver.com/services/access-a-ride,,,,,,,,,,,,Delivery or freight,Curb,,Denver Regional Transportation District,1,,,North America,US,US-CO,0,,,,,,189,MW290,MW290
183,United States,Michigan,Detroit,,3/30/2020,,,"TC: NA. MW: MoGo Detroit, a bikeshare program, is offering its monthly pass for free in response to COVID-19. Riders can sign up for MoGo’s free monthly pass via the transit app, with no promotional code needed. Additionally, all existing monthly pass holders will renew this month for free. MoGo’s monthly pass is good for 30 days and provides an unlimited number of station-to-station trips up to 30 minutes. Overage fees still apply to trips over 30 minutes.. ML: NA",MoGo provides free bicycle use in Detroit,Other mobility-related strategies,Other strategies: bike share,access to bikes,bike share,Financial,N/A,N/A,N/A,N/A,,unknown,,Anticipated response,New action,Arbitrary,Unknown,Moving people,Other,,Modifications to prices,unknown,https://mogodetroit.org/blog/free-monthly-pass/,,,,,,,,,,,,Shared modes,Bicycle / e-bicycle,,MoGo,,,1,North America,US,US-MI,1,,,,,,190,MW366,MW366
184,United States,New Hampshire,Exeter,3/30/2020,,,,TC: Town Select Board voted to close the parkway in Swazey Park to motor vehicles to provide more walking and bicycling space for social distancing. MW: NA. ML: Swasey Parkway now closed to cars,,Full street closures,Closed streets to motor vehicles,street space for ped/bike,full street: pedbike,Physical,Entire Roadway,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,1,Opening up after lockdown,New action,Input or request from community,Unknown,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,"https://www.seacoastonline.com/news/20200401/exeterrsquos-swasey-parkway-remains-open-but-vehicles-banned , https://www.seacoastonline.com/news/20200401/exeterrsquos-swasey-parkway-remains-open-but-vehicles-banned",,,,,,,,,,,,Public space,,,0,,,,North America,US,US-NH,1,,,,,,191,ML014,"ML014, TC073"
185,India,,Gurugram,,3/30/2020,,,TC: NA. MW: Gurugram Metropolitan City Bus Limited (GMCBL) buses started serving as transportation carriers of essential food commodities as a mobile grocery shop from the wholesalers to the retail points and resident welfare societies/ public places to fulfill the needs of the residential communities.. ML: NA,Repurposing a public transport bus as a utility bus: mobile grocery shops,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,entire city,,unknown,,Reactive response (to higher contagion),New action,Based on demand,Unknown,Moving people,Change of use,,unknown,unknown,https://www.gmcbl.in/download.html?fid=412688df-df1e-407d-bdf8-f1cf6f92507d&code=generalResource&key=attachment&identifier=1588146482217,,,,,,,,,,,,Transit,Bus,,"Gurugram Metropolitan City Bus Limited (GMCBL), Gurugram Administration",1,1,,South Asia,IN,,0,,,,,,192,MW100,MW100
186,United Kingdom,Isle of Man,statewide,3/30/2020,3/30/2020,,,TC: max speed limit on the island is now 40mph. MW: A temporary 40mph national speed limit will be introduced on the Isle of Man in a bid to reduce the risk of road crashes during the COVID-19 outbreak. The new measure would allow the emergency services the “space” to deal with the pandemic.. ML: NA,Isle of Man reduces speed limits,"Legal, policy, enforcement, funding changes",Reduced speed limit,other bike/ped supports,speed limit,Regulatory,Entire Roadway,All day every day,No ban of any vehicles (shared space),entire city,Road space (includes bridges),unknown,,Anticipated response,New action,Arbitrary,Temporary,Safety,Other,,Modifications to regulations,Public sector action,"https://www.gov.im/about-the-government/departments/cabinet-office/news/?altTemplate=ViewCategorisedNews&id=115196 , https://twitter.com/TweetbeatIOM/status/1243579094207520769?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1243579094207520769%7Ctwgr%5E&ref_url=http%3A%2F%2Fspaceforgosforth.com%2Fhow-are-city-transport-planners-responding-to-covid-19%2F",,,,,,,,,,,,Public space,Streets,,Isle of Man Chief Minister,1,,,Europe & Central Asia,GB,,1,,,,,,193,MW208,"MW208, TC078"
187,United States,Oregon,Lane County,,3/30/2020,,,"TC: NA. MW: Lane Transit District (LTD) cares about the health and safety of the community. Preventing the spread of COVID-19 is a team effort. Here are some of the ways LTD is keeping bus operators, riders, and community safe: employee temperature screening; encouraging essential trips only; limiting riders on buses – 15 people on a 40 foot/20 people on a 60 foot vehicle; taping off seating to promote social distancing; sanitizing buses and facilities; temporarily suspending fare collection and boarding through the back doors; requiring use of a mask for everyone on LTD vehicles and facilities; customer service available via telephone, continuing public meetings via video conferencing technology; updating the LTD website and social media regularly with service information; and following the guidance of authorities.. ML: NA",Lane Transit District takes COVID-19 precautions,Other mobility-related strategies,Other strategies: fare free transit,boost transit,boost transit,Financial,N/A,All day every day,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Based on demand,Temporary,Public health,Automation,,unknown,unknown,https://www.ltd.org/covid-19/,,,,,,,,,,,,Transit,Bus,,Lane Transit District (LTD),1,,,North America,US,US-OR,1,,,,,,194,MW422,MW422
188,United States,Nevada,Las Vegas,,3/30/2020,,,"TC: NA. MW: The RTC is partnering with community food bank Three Square to deliver groceries to homebound seniors. Due to lower trip demand from paratransit clients, the RTC can deploy existing paratransit drivers and vehicles to help Three Square with its Senior Hunger Program.. ML: NA",RTC delivers groceries to homebound seniors,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Moving goods,Other,,Modifications to services,unknown,https://www.rtcsnv.com/news/rtc-partners-with-three-square-to-deliver-food-to-seniors-during-pandemic/,,,,,,,,,,,,Delivery or freight,Curb,,"RTC, Three Square",1,,1,North America,US,US-NV,0,,,,,,195,MW386,MW386
189,United States,Nevada,Las Vegas,,3/30/2020,,,TC: NA. MW: The RTC has added more pick up locations and earlier service hours to [existing Silver STAR] routes to help individuals take advantage of stores offering dedicated hours to senior citizens and those with underlying medical issues. A new temporary route in the northeast valley has also been added. Every Silver STAR vehicle can accommodate up to two wheelchairs at a time.. ML: NA,RTC expands specialty service to help senior citizens during COVID-19,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,entire city,,unknown,,Reactive response (to higher contagion),New action,Based on demand,Temporary,Moving people,Other,,Modifications to services,unknown,https://www.rtcsnv.com/news/rtc-expands-specialty-service-to-help-senior-citizens-during-covid-19-pandemic/,,,,,,,,,,,,Shared rides,,,RTC,1,,,North America,US,US-NV,0,,,,,,196,MW387,MW387
190,United States,California,Long Beach,3/30/2020,3/30/2020,,,"TC: NA. MW: To further the City's efforts to reduce the spread of COVID19, Long Beach BikeShare service has been suspended until further notice.. ML: NA",Long Beach bicycle-share suspended,"Legal, policy, enforcement, funding changes",Specific policy action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,N/A,N/A,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Public health,Mobility restriction,,Modifications to services,unknown,http://www.longbeach.gov/goactivelb/programs/long-beach-bike-share/,,,,,,,,,,,,Shared modes,Bicycle / e-bicycle,,Long Beach Bikeshare,1,,,North America,US,US-CA,1,,,,,,197,MW245,MW245
191,United States,Florida,Miami Beach,3/30/2020,,,,"TC: Most, if not all signalized intersections have been placed on pedestrian recall. This includes City, County and State roads.. MW: NA. ML: NA",,Automated walk signals,Automated walk signals,other bike/ped supports,automated walk signals,Operational,Intersection,All day every day,No ban of any vehicles (shared space),metropolitan area or county,Beg buttons,Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Arbitrary,Indefinite,Public health,Automation,,Modifications to or reallocation of public infrastructure,unknown,https://twitter.com/BikeWalkMB/status/1244648182325403648,,,,,,,,,,,,Public space,,,0,,,,North America,US,US-FL,1,,,,,,198,TC086,"TC086, ML329"
192,Canada,British Columbia,North Vancouver,,3/30/2020,,,"TC: NA. MW: To reduce the risk of transmission of COVID-19, North Vancouver automated pedestrian signals at key intersections so pedestrians do not need to touch the signal button to cross the street.. ML: NA",North Vancouver Automating Walk Signals to Protect Public Health,Automated walk signals,Automated walk signals,other bike/ped supports,automated walk signals,Operational,Intersection,All day every day,No ban of any vehicles (shared space),entire city,Beg buttons,Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Automation,,Modifications to or reallocation of public infrastructure,unknown,https://www.cnv.org/city-services/health-and-public-safety/emergency-preparedness/covid-19,,,,,,,,,,,,Public space,,,North Vancouver,1,,,North America,CA,,1,,,,,,199,MW053,MW053
193,United States,California,Pasadena,3/30/2020,,,,"TC: Closure of 3 mile loop road around the Rose Bowl Stadium for people to walk/roll (driving still ok); UPDATE: Overturned on May 13th. Loop now closed to cars, open to walk/bike. MW: NA. ML: NA",,Full street closures,Closed streets to motor vehicles,street space for ped/bike,full street: pedbike,Physical,Entire Roadway,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Based on demand,Unknown,Public health,Change of use,,N/A,unknown,https://www.pasadenastarnews.com/2020/03/30/pasadena-closes-rose-bowl-loop-in-response-to-coronavirus/,,,,,,,,,,,,,,,0,,,,North America,US,US-CA,1,,,,,,200,TC075,TC075
194,United States,California,Pasadena,3/30/2020,,,,TC: CMS signage; parade barricades; Pasadena PD motorcyclists circling and warning people. MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Specific enforcement action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,"Other (parks, plazas)",unknown,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Mobility restriction,,N/A,unknown,https://www.pasadenastarnews.com/2020/03/30/pasadena-closes-rose-bowl-loop-in-response-to-coronavirus/,,,,,,,,,,,,,,,0,,,,North America,US,US-CA,1,,,,,,201,TC076,TC076
195,United States,California,San Francisco,,3/30/2020,,,"TC: NA. MW: With extremely low ridership and new 9pm service closure, capital workers are taking full advantage to make progress. BART transferred 200 maintenance and engineering employees from operating projects to rebuilding capital projects, like ongoing station modernization projects at some of the busiest stations in the system. Capital projects are not paid for by operating funds, meaning ridership and related huge revenue loss have not impacted infrastructure work. Many capital projects currently at work are paid for by Measure RR, a voter-approved bond measure passed in 2016 in the three BART District counties. Several major capital projects are benefiting from the 9pm service closure, such as: 19th Street Station Modernization Project; El Cerrito Del Norte Station Modernization Project; Rail Grinding; Rail Replacement; and Transbay Tube Cathodic Protection, among others. BART has also added additional weekend track work to help take advantage of an extremely low ridership.. ML: NA",The Bay Area Rapid Transit (BART) uses COVID-19 downtime to continue improving its system,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,entire city,,unknown,,Reactive response (to higher contagion),Fast track pre-covid plan,Arbitrary,Indefinite,Moving people,Other,,Modifications to or reallocation of public infrastructure,unknown,https://www.bart.gov/news/articles/2020/news20200330,,,,,,,,,,,,Transit,Light-rail,,Bay Area Rapid Transit (BART),1,,,North America,US,US-CA,0,,,,,,203,MW274,MW274
